Name,Value
child_alone,0
offer,119
shops,120
tools,159
fire,282
hospitals,283
missing_people,299
aid_centers,309
clothing,406
security,471
cold,530
electricity,534
money,604
search_and_rescue,724
military,860
refugees,876
other_infrastructure,1151
death,1196
transport,1203
medical_products,1314
buildings,1335
other_weather,1376
water,1674
infrastructure_related,1705
medical_help,2087
floods,2158
shelter,2319
storm,2448
earthquake,2453
food,2930
other_aid,3448
request,4480
direct_report,5080
weather_related,7302
aid_related,10878
related,20298
