Name,Value,,,,,,,,,,
USA,"734,546",,,,,,,,,,
Spain,"191,726",,,,,,,,,,
Italy,"175,925",,,,,,,,,,
France,"151,793",,,,,,,,,,
Germany,"143,160",,,,,,,,,,
UK,"114,217",,,,,,,,,,
China,"82,719",,,,,,,,,,
Turkey,"82,329",,,,,,,,,,
Iran,"80,868",,,,,,,,,,
Belgium,"37,183",,,,,,,,,,
Russia,"36,793",,,,,,,,,,
Brazil,"36,599",,,,,,,,,,
Canada,"33,218",,,,,,,,,,
Netherlands,"31,589",,,,,,,,,,
Switzerland,"27,404",,,,,,,,,,
Portugal,"19,685",,,,,,,,,,
India,"15,722",,,,,,,,,,
Ireland,"14,758",,,,,,,,,,
Austria,"14,671",,,,,,,,,,
Peru,"14,420",,,,,,,,,,
Sweden,"13,822",,,,,,,,,,
Israel,"13,265",,,,,,,,,,
S. Korea,"10,653",,,,,,,,,,
Japan,"9,787",,,,,,,,,,
Chile,"9,730",,,,,,,,,,
Ecuador,"9,022",,,,,,,,,,
Poland,"8,742",,,,,,,,,,
Romania,"8,418",,,,,,,,,,
Saudi Arabia,"8,274",,,,,,,,,,
Pakistan,"7,638",,,,,,,,,,
Denmark,"7,242",,,,,,,,,,
Norway,"7,036",,,,,,,,,,
Mexico,"6,875",,,,,,,,,,
Czechia,"6,606",,,,,,,,,,
Australia,"6,565",,,,,,,,,,
UAE,"6,302",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
